,,0
,Elizabeth Janet Gray,1
,,2
,,3
,,4
,,5
,Joseph Krumgold,6
,,7
,,8
,,9
,,10
,,11
,,12
,,13
,,14
,,15
,Christopher Paul Curtis,16
,,17
,,18
,,19
,,20
,Avi,21
,,22
,,23
,,24
,,25
,,26
,,27
,E . L . Konigsburg,28
,,29
,,30
,,31
,,32
,,33
,Esther Forbes,34
,,35
,,36
,,37
,,38
,,39
,Jerry Spinelli,40
,,41
,,42
,Robert C . O&apos;Brien,43
,,44
,,45
,,46
,,47
,,48
,,49
,,50
,,51
,,52
,,53
,,54
,,55
,,56
,,57
,,58
,,59
,Paula Fox,60
,,61
,,62
,Elizabeth Enright,63
,,64
,,65
,,66
,Eric P . Kelly,67
,,68
,William Pene Du Bois,69
,Hugh Lofting,70
,Sharon Creech,71
,,72
,,73
,Sid Fleischman,74
,,75
,,76
,,77
